number,name,a,b,mode,class,c
4107,邦特,TW0004107008,2002/3/4,上櫃,生技醫療業,ESVUFR
4109,加捷生醫,TW0004109004,2002/8/8,上櫃,生技醫療業,ESVUFR
4111,濟生,TW0004111000,1999/3/6,上櫃,生技醫療業,ESVUFR
4113,聯上,TW0004113006,2003/7/22,上櫃,建材營造業,ESVUFR
4114,健喬,TW0004114004,2003/5/12,上櫃,生技醫療業,ESVUFR
4116,明基醫,TW0004116009,2015/12/16,上櫃,生技醫療業,ESVUFR
4120,友華,TW0004120001,2003/11/5,上櫃,生技醫療業,ESVUFR
4121,優盛,TW0004121009,2003/7/25,上櫃,生技醫療業,ESVUFR
4123,晟德,TW0004123005,2003/10/7,上櫃,生技醫療業,ESVUFR
4126,太醫,TW0004126008,2004/2/9,上櫃,生技醫療業,ESVUFR
4127,天良,TW0004127006,2005/7/29,上櫃,生技醫療業,ESVUFR
4128,中天,TW0004128004,2006/6/9,上櫃,生技醫療業,ESVUFR
4129,聯合,TW0004129002,2004/9/29,上櫃,生技醫療業,ESVUFR
4130,健亞,TW0004130000,2012/1/12,上櫃,生技醫療業,ESVUFR
4131,晶宇,TW0004131008,2004/4/9,上櫃,生技醫療業,ESVUFR
4138,曜亞,TW0004138003,2010/12/29,上櫃,生技醫療業,ESVUFR
4139,馬光-KY,KYG5831M1087,2011/4/29,上櫃,生技醫療業,ESVUFR
4147,中裕,TW0004147004,2015/11/23,上櫃,生技醫療業,ESVUFR
4152,台微體,TW0004152004,2012/12/21,上櫃,生技醫療業,ESVUFR
4153,鈺緯,TW0004153002,2013/5/23,上櫃,生技醫療業,ESVUFR
4154,康樂-KY,KYG527551082,2011/12/28,上櫃,生技醫療業,ESVUFR
4157,太景*-KY,KYG866171005,2013/8/30,上櫃,生技醫療業,ESVUFR
4160,創源,TW0004160007,2012/9/17,上櫃,生技醫療業,ESVUFR
4161,聿新科,TW0004161005,2013/6/26,上櫃,生技醫療業,ESVUFR
4162,智擎,TW0004162003,2012/9/18,上櫃,生技醫療業,ESVUFR
4163,鐿鈦,TW0004163001,2012/11/15,上櫃,生技醫療業,ESVUFR
4167,松瑞藥,TW0004167002,2015/9/8,上櫃,生技醫療業,ESVUFR
4168,醣聯,TW0004168000,2012/12/18,上櫃,生技醫療業,ESVUFR
4171,瑞基,TW0004171004,2018/3/28,上櫃,農業科技業,ESVUFR
4173,久裕,TW0004173000,2013/10/31,上櫃,生技醫療業,ESVUFR
4174,浩鼎,TW0004174008,2015/3/23,上櫃,生技醫療業,ESVUFR
4175,杏一,TW0004175005,2014/4/23,上櫃,生技醫療業,ESVUFR
4183,福永生技,TW0004183009,2017/3/9,上櫃,生技醫療業,ESVUFR
4188,安克,TW0004188008,2015/3/24,上櫃,生技醫療業,ESVUFR
4192,杏國,TW0004192000,2014/10/28,上櫃,生技醫療業,ESVUFR
4198,欣大健康,TW0004198007,2014/12/23,上櫃,生技醫療業,ESVUFR
4205,中華食,TW0004205000,1999/1/31,上櫃,食品工業,ESVUFR
4207,環泰,TW0004207006,2000/1/21,上櫃,食品工業,ESVUFR
4303,信立,TW0004303003,1999/3/10,上櫃,塑膠工業,ESVUFR
4304,勝昱,TW0004304001,2000/1/27,上櫃,塑膠工業,ESVUFR
4305,世坤,TW0004305008,2000/9/28,上櫃,塑膠工業,ESVUFR
4401,東隆興,TW0004401005,1996/5/9,上櫃,紡織纖維,ESVUFR
4402,福大,TW0004402003,1997/7/23,上櫃,紡織纖維,ESVUFR
4406,新昕纖,TW0004406004,1999/1/14,上櫃,紡織纖維,ESVUFR
4413,飛寶企業,TW0004413000,1999/7/29,上櫃,紡織纖維,ESVUFR
4416,三圓,TW0004416003,2000/5/6,上櫃,建材營造業,ESVUFR
4417,金洲,TW0004417001,2000/11/7,上櫃,紡織纖維,ESVUFR
4419,元勝,TW0004419007,2001/6/26,上櫃,紡織纖維,ESVUFR
4420,光明,TW0004420005,2002/4/18,上櫃,紡織纖維,ESVUFR
4429,聚紡,TW0004429006,2010/9/15,上櫃,紡織纖維,ESVUFR
4430,耀億,TW0004430004,2011/6/9,上櫃,其他業,ESVUFR
4432,銘旺實,TW0004432000,2012/11/26,上櫃,紡織纖維,ESVUFR
4433,興采,TW0004433008,2014/11/3,上櫃,紡織纖維,ESVUFR
4502,健信,TW0004502000,1995/12/12,上櫃,電機機械,ESVUFR
4503,金雨,TW0004503008,1996/12/19,上櫃,電機機械,ESVUFR
4506,崇友,TW0004506001,1997/12/6,上櫃,電機機械,ESVUFR
4510,高鋒,TW0004510003,1998/2/24,上櫃,電機機械,ESVUFR
4513,福裕,TW0004513007,1998/3/25,上櫃,電機機械,ESVUFR
4523,永彰,TW0004523006,1999/11/22,上櫃,電機機械,ESVUFR
4527,方土霖,TW0004527007,2000/9/28,上櫃,電機機械,ESVUFR
4528,江興鍛,TW0004528005,2001/2/12,上櫃,電機機械,ESVUFR
4529,淳紳,TW0004529003,2001/5/4,上櫃,其他業,ESVUFR
4530,宏易,TW0004530001,2001/4/30,上櫃,電機機械,ESVUFR
4533,協易機,TW0004533005,2002/4/26,上櫃,電機機械,ESVUFR
4534,慶騰,TW0004534003,2003/3/31,上櫃,電機機械,ESVUFR
4535,至興,TW0004535000,2003/4/16,上櫃,電機機械,ESVUFR
4538,大詠城,TW0004538004,2019/1/15,上櫃,電機機械,ESVUFR
4541,晟田,TW0004541008,2014/7/22,上櫃,其他業,ESVUFR
4542,科嶠,TW0004542006,2014/8/25,上櫃,電子零組件業,ESVUFR
4543,萬在,TW0004543004,2016/3/15,上櫃,電機機械,ESVUFR
4549,桓達,TW0004549001,2014/11/27,上櫃,電機機械,ESVUFR
4550,長佳,TW0004550009,2015/3/18,上櫃,電機機械,ESVUFR
4554,橙的,TW0004554001,2016/8/5,上櫃,其他電子業,ESVUFR
4556,旭然,TW0004556006,2015/12/22,上櫃,其他業,ESVUFR
4561,健椿,TW0004561006,2018/6/11,上櫃,電機機械,ESVUFR
4563,百德,TW0004563002,2018/7/12,上櫃,電機機械,ESVUFR
4568,科際精密,TW0004568001,2018/10/3,上櫃,電機機械,ESVUFR
4580,捷流閥業,TW0004580006,2020/1/6,上櫃,電機機械,ESVUFR
4609,唐鋒,TW0004609003,2000/5/19,上櫃,電器電纜,ESVUFR
4702,中美實,TW0004702006,1995/4/21,上櫃,化學工業,ESVUFR
4706,大恭,TW0004706007,1998/4/17,上櫃,化學工業,ESVUFR
4707,磐亞,TW0004707005,1998/5/20,上櫃,化學工業,ESVUFR
4711,永純,TW0004711007,1999/2/24,上櫃,化學工業,ESVUFR
4712,南璋,TW0004712005,1999/4/3,上櫃,食品工業,ESVUFR
4714,永捷,TW0004714001,2000/3/27,上櫃,化學工業,ESVUFR
4716,大立,TW0004716006,2000/3/27,上櫃,化學工業,ESVUFR
4721,美琪瑪,TW0004721006,2001/3/9,上櫃,化學工業,ESVUFR
4726,永昕,TW0004726005,2013/12/25,上櫃,生技醫療業,ESVUFR
4728,雙美,TW0004728001,2012/1/10,上櫃,生技醫療業,ESVUFR
4729,熒茂,TW0004729009,2009/2/24,上櫃,光電業,ESVUFR
4735,豪展,TW0004735006,2011/8/16,上櫃,生技醫療業,ESVUFR
4736,泰博,TW0004736004,2010/12/1,上櫃,生技醫療業,ESVUFR
4741,泓瀚,TW0004741004,2017/9/26,上櫃,化學工業,ESVUFR
4743,合一,TW0004743000,2011/9/23,上櫃,生技醫療業,ESVUFR
4744,皇將,TW0004744008,2018/7/12,上櫃,生技醫療業,ESVUFR
4745,合富-KY,KYG248111042,2013/1/30,上櫃,生技醫療業,ESVUFR
4747,強生,TW0004747001,2013/12/25,上櫃,生技醫療業,ESVUFR
4754,國碳科,TW0004754007,2016/9/28,上櫃,化學工業,ESVUFR
4760,勤凱,TW0004760004,2019/3/21,上櫃,其他電子業,ESVUFR
4767,誠泰科技,TW0004767009,2018/10/29,上櫃,化學工業,ESVUFR
4803,VHQ-KY,KYG9344G1038,2015/12/16,上櫃,文化創意業,ESVUFR
4804,大略-KY,KYG2646C1024,2015/12/4,上櫃,觀光事業,ESVUFR
4806,昇華,TW0004806005,2016/3/9,上櫃,文化創意業,ESVUFR
4903,聯光通,TW0004903000,2001/5/14,上櫃,通信網路業,ESVUFR
4905,台聯電,TW0004905005,2001/12/7,上櫃,通信網路業,ESVUFR
4907,富宇,TW0004907001,2002/3/4,上櫃,建材營造業,ESVUFR
4908,前鼎,TW0004908009,2002/2/27,上櫃,通信網路業,ESVUFR
4909,新復興,TW0004909007,2002/11/28,上櫃,通信網路業,ESVUFR
4911,德英,TW0004911003,2011/3/21,上櫃,生技醫療業,ESVUFR
4924,欣厚-KY,KYG4642A1067,2011/10/18,上櫃,電腦及週邊設備業,ESVUFR
4931,新盛力,TW0004931001,2019/9/17,上櫃,電腦及週邊設備業,ESVUFR
4933,友輝,TW0004933007,2010/5/4,上櫃,光電業,ESVUFR
4939,亞電,TW0004939004,2011/9/19,上櫃,電子零組件業,ESVUFR
4944,兆遠,TW0004944004,2011/5/31,上櫃,光電業,ESVUFR
4945,陞達科技,TW0004945001,2020/11/20,上櫃,半導體業,ESVUFR
4946,辣椒,TW0004946009,2011/6/10,上櫃,文化創意業,ESVUFR
4950,牧東,TW0004950001,2012/4/27,上櫃,其他業,ESVUFR
4953,緯軟,TW0004953005,2014/1/8,上櫃,資訊服務業,ESVUFR
